Date,Time,Open,High,Low,Close,Volume
20151121,000000,1342,1412,1335,1335,8688194
20151122,000000,1343,1344,1322,1328,3869651
20151123,000000,1355,1377,1340,1366,1405458
20151124,000000,1349,1370,1347,1360,806186
20151125,000000,1350,1365,1349,1358,575378
20151128,000000,1351,1351,1321,1328,365402
20151129,000000,1324,1349,1300,1310,911686
20151130,000000,1327,1327,1272,1290,2697957
20151201,000000,1275,1291,1240,1255,641668
20151205,000000,1261,1271,1221,1230,3014804
20151206,000000,1186,1237,1186,1200,949789
20151207,000000,1198,1227,1177,1181,1257729
20151208,000000,1173,1196,1167,1189,573619
20151209,000000,1192,1196,1169,1192,1094807
20151213,000000,1192,1192,1166,1168,811303
20151214,000000,1186,1186,1157,1160,897700
20151215,000000,1175,1188,1163,1166,852380
20151216,000000,1185,1199,1170,1171,855869
20151219,000000,1180,1180,1161,1162,929497
20151220,000000,1174,1174,1135,1138,377320
20151221,000000,1140,1182,1136,1170,10928309
20151222,000000,1173,1173,1140,1150,374700
20151223,000000,1160,1160,1140,1150,137930
20151226,000000,1160,1160,1137,1139,107163
20151227,000000,1140,1170,1139,1144,544662
20151228,000000,1150,1166,1144,1159,227343
20151230,000000,1145,1225,1140,1170,1419084
20160102,000000,1190,1190,1155,1160,498323
20160103,000000,1180,1186,1144,1150,940844
20160104,000000,1179,1195,1160,1190,1227162
20160105,000000,1190,1235,1170,1235,3027092
20160106,000000,1240,1283,1200,1280,3540199
20160109,000000,1270,1270,1221,1228,1385505
20160110,000000,1226,1240,1221,1222,596086
20160111,000000,1239,1288,1239,1282,3892808
20160112,000000,1280,1303,1272,1294,2321253
20160113,000000,1262,1353,1261,1353,3333256
20160116,000000,1383,1383,1383,1383,2600000
20160117,000000,1446,1446,1361,1400,13068824
20160118,000000,1413,1437,1366,1437,1957177
20160119,000000,1440,1480,1418,1420,3555317
20160120,000000,1441,1469,1404,1454,1614819
20160123,000000,1457,1515,1400,1495,5689705
20160124,000000,1518,1552,1500,1516,6897869
20160125,000000,1527,1603,1480,1603,7994691
20160126,000000,1669,1670,1620,1670,4178392
20160127,000000,1738,1738,1586,1660,3429513
20160130,000000,1651,1699,1600,1604,2679613
20160131,000000,1604,1648,1578,1600,1784666
20160201,000000,1600,1690,1600,1685,2549429
20160202,000000,1690,1709,1600,1600,2677583
20160203,000000,1670,1741,1577,1741,21205602
20160206,000000,1785,1785,1785,1785,3308743
20160207,000000,1874,1874,1874,1874,2764718
20160208,000000,1966,1966,1966,1966,3099816
20160209,000000,2064,2064,1900,1917,16910168
20160210,000000,1957,2120,1957,2010,11927647
20160213,000000,2011,2064,1939,1939,3086381
20160214,000000,1890,2000,1866,1866,5881681
20160215,000000,1897,1960,1812,1841,4758846
20160216,000000,1967,1967,1967,1967,2846835
20160217,000000,2065,2065,2065,2065,2860375
20160220,000000,2100,2109,1966,1980,9011668
20160221,000000,1998,2028,1936,1936,1766205
20160222,000000,1986,2000,1893,1950,4290784
20160223,000000,1999,1999,1870,1870,1981153
20160224,000000,1932,1932,1840,1860,750364
20160227,000000,1890,1920,1841,1843,1643319
20160228,000000,1844,1856,1811,1825,1278802
20160229,000000,1802,1850,1774,1790,1506962
20160301,000000,1810,1900,1785,1900,3422251
20160302,000000,1850,1915,1850,1914,5312637
20160305,000000,1851,2001,1851,2001,8407098
20160306,000000,2062,2069,1992,2040,5355123
20160307,000000,2050,2120,1980,2090,11531479
20160308,000000,2020,2139,2020,2070,19023638
20160315,000000,2000,2100,2000,2100,12061351
20160316,000000,2066,2100,2000,2054,3865876
20160326,000000,1942,2097,1942,1992,1233512
20160327,000000,2038,2038,1937,1937,1912654
20160328,000000,1900,1937,1882,1890,756502
20160329,000000,1890,1989,1873,1971,678925
20160330,000000,1958,2010,1924,1980,1128261
20160402,000000,2039,2039,1902,1950,2775352
20160403,000000,1915,1946,1887,1946,861596
20160404,000000,1945,1946,1870,1891,1256570
20160405,000000,1880,1940,1880,1890,752194
20160406,000000,1929,1929,1880,1890,1072581
20160409,000000,1882,1999,1882,1925,1019067
20160410,000000,1886,1899,1852,1865,677812
20160411,000000,1850,1910,1850,1895,329538
20160412,000000,1919,1947,1812,1821,1359326
20160413,000000,1820,1820,1788,1816,964986
20160416,000000,1816,1816,1759,1759,340076
20160417,000000,1748,1820,1748,1771,840788
20160418,000000,1755,1847,1755,1825,543825
20160419,000000,1814,1815,1724,1741,507744
20160420,000000,1798,1798,1730,1775,568055
20160423,000000,1800,1844,1800,1807,574551
20160424,000000,1834,1855,1782,1848,299356
20160425,000000,1846,1859,1802,1802,511024
20160426,000000,1722,1827,1722,1799,100174
20160427,000000,1819,1819,1776,1776,541926
20160430,000000,1770,1799,1753,1764,185081
20160501,000000,1750,1800,1720,1785,536365
20160502,000000,1713,1760,1699,1752,333668
20160503,000000,1780,1781,1725,1745,213056
20160504,000000,1750,1851,1750,1798,1797883
20160507,000000,1829,1829,1713,1740,260051
20160508,000000,1716,1760,1705,1705,1686904
20160509,000000,1720,1726,1690,1700,534455
20160510,000000,1730,1730,1683,1730,492420
20160511,000000,1678,1710,1655,1661,1663101
20160514,000000,1670,1690,1665,1680,111512
20160515,000000,1679,1679,1615,1636,2190949
20160516,000000,1615,1659,1600,1610,383743
20160517,000000,1602,1669,1602,1660,213182
20160518,000000,1666,1667,1613,1667,424167
20160521,000000,1665,1685,1638,1685,1175588
20160523,000000,1699,1700,1656,1675,829794
20160524,000000,1700,1700,1661,1661,1273228
20160525,000000,1663,1705,1641,1650,588869
20160528,000000,1687,1688,1646,1646,1114126
20160529,000000,1644,1680,1620,1680,5895217
20160530,000000,1650,1650,1610,1613,355886
20160531,000000,1616,1622,1611,1612,115376
20160601,000000,1648,1648,1605,1612,314450
20160605,000000,1645,1645,1616,1625,86459
20160606,000000,1620,1638,1612,1638,157415
20160607,000000,1611,1623,1597,1607,698164
20160608,000000,1614,1614,1566,1588,356900
20160611,000000,1561,1596,1558,1561,401515
20160612,000000,1558,1600,1546,1547,261645
20160613,000000,1546,1600,1539,1550,617369
20160614,000000,1556,1595,1528,1528,315780
20160615,000000,1531,1567,1520,1542,139311
20160618,000000,1547,1547,1518,1518,409483
20160619,000000,1515,1515,1507,1507,349597
20160620,000000,1498,1535,1498,1498,1072130
20160621,000000,1500,1520,1475,1520,802977
20160622,000000,1560,1590,1520,1550,475913
20160625,000000,1550,1550,1500,1504,529318
20160626,000000,1501,1547,1501,1545,224572
20160628,000000,1525,1600,1525,1570,777985
20160629,000000,1560,1560,1530,1530,610673
20160702,000000,1505,1540,1500,1530,191803
20160703,000000,1505,1555,1500,1555,31041323
20160704,000000,1500,1510,1492,1496,97200
20160705,000000,1493,1515,1476,1491,323757
20160709,000000,1489,1500,1468,1480,117592
20160710,000000,1490,1491,1486,1491,30064
20160711,000000,1480,1481,1470,1475,336408
20160712,000000,1470,1501,1470,1501,239807
20160713,000000,1481,1499,1480,1499,460043
20160716,000000,1485,1528,1481,1528,762799
20160717,000000,1506,1559,1500,1534,367273
20160718,000000,1520,1580,1516,1516,231949
20160719,000000,1540,1540,1511,1528,392964
20160720,000000,1540,1570,1525,1567,427591
20160723,000000,1569,1590,1569,1590,704937
20160724,000000,1580,1617,1563,1617,912920
20160725,000000,1635,1635,1611,1635,863443
20160726,000000,1650,1650,1621,1632,571966
20160727,000000,1602,1670,1601,1620,755207
20160731,000000,1665,1670,1626,1629,359579
20160801,000000,1625,1650,1617,1650,494435
20160802,000000,1650,1683,1650,1660,529931
20160803,000000,1660,1702,1652,1702,662568
20160806,000000,1698,1719,1654,1719,633286
20160807,000000,1720,1736,1675,1715,1426186
20160808,000000,1700,1750,1700,1740,288714
